trial_number,value,datetime_start,datetime_complete,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki,param_FE
0,24.530132293701172,2025-09-04 10:27:50.474516,2025-09-04 10:27:50.478570,174.99213443224815,11.167063830710351,230.29988533292834,0.30529689114789915,1646.7156704439974,193.45507354002982,16.84657561299222,24.56976974415818,0.48250479954254993
1,24.681167602539062,2025-09-04 10:27:50.478570,2025-09-04 10:27:50.483181,164.55364601520267,14.36489380657568,220.16768195698705,0.47989303687955265,1778.697244707533,187.84852832981258,19.143465619124783,37.77912083054628,0.35002238620486464
2,25.042896270751953,2025-09-04 10:27:50.483694,2025-09-04 10:27:50.485767,175.72479000242853,17.90802314286305,208.83313845119343,0.48836189429269694,1568.194239983082,187.07878111106962,21.256813425446598,46.40856398746713,0.2425079043281851
3,23.49249839782715,2025-09-04 10:27:50.485767,2025-09-04 10:27:50.488347,191.59306353087385,11.757311036095366,230.48609652902323,0.3415022996603491,1847.6228790003574,230.17475865789396,16.4537491036918,41.39437131478701,0.20306339271689494
4,24.500316619873047,2025-09-04 10:27:50.488858,2025-09-04 10:27:50.491432,190.57884798131775,12.762213840893905,206.46437471521,0.43999134261323625,1838.7474846299458,225.35773671733813,16.209008576086354,17.132765287624146,0.3797582897293169
5,23.460954666137695,2025-09-04 10:27:50.491947,2025-09-04 10:27:50.495059,183.33499615906248,16.810413773713883,183.59340329562514,0.46749682323570374,1713.030956791803,218.85464149225334,31.291272410213182,24.331326405005154,0.5292318625647972
6,26.51334571838379,2025-09-04 10:27:50.495597,2025-09-04 10:27:50.497654,189.7266181069925,15.24250418235835,194.76041038443105,0.4104509554504878,1684.4954380861436,190.59429470525097,12.264155774853176,45.46399629997669,0.5062813208551222
7,24.602014541625977,2025-09-04 10:27:50.497654,2025-09-04 10:27:50.500233,191.47937484953533,13.495265466932734,234.50790696438997,0.5107506094898892,1659.7020655287754,181.96205975514277,25.800983241111453,45.4701043339925,0.23777284225541678
8,26.264591217041016,2025-09-04 10:27:50.500233,2025-09-04 10:27:50.502750,186.8002394533621,10.669622265190554,172.238610294688,0.2950204471899021,1614.1906192834745,178.17750589451376,17.327109748003494,33.97170217699447,0.4046190223033746
9,26.534637451171875,2025-09-04 10:27:50.502750,2025-09-04 10:27:50.505301,167.47212680840016,12.585745996551312,191.42828611808423,0.3705713192745564,1636.4991715672631,168.9151282385793,8.39517395449315,26.53116030135438,0.4697812492477609
10,22.14621925354004,2025-09-04 10:27:50.505301,2025-09-04 10:27:50.543664,165.05704050517807,7.273813785732891,191.8973831242065,0.36174633308207554,1746.8222306945288,209.77127356677653,5.533761360624273,30.169447890260635,0.07570716226146118
11,26.731426239013672,2025-09-04 10:27:50.544185,2025-09-04 10:27:50.579474,195.91382431546396,15.942372868827531,190.74739770624808,0.4024956455595167,1541.8685985636382,172.5854379579499,8.836062046294188,54.73982431812164,0.4584410655012403
12,25.848102569580078,2025-09-04 10:27:50.579474,2025-09-04 10:27:50.614782,171.465123861536,9.021202485021197,177.6231296178657,0.37531167045966995,1549.978181929561,168.83320511014335,4.140224262577906,54.48501816685891,0.44813313783731407
13,26.731426239013672,2025-09-04 10:27:50.614782,2025-09-04 10:27:50.651022,195.35388942216844,15.988356469323609,194.57591386686693,0.4105440322217143,1596.1859825203273,169.3992837494768,9.643880357125301,54.754911356129256,0.301015453314515
14,24.688823699951172,2025-09-04 10:27:50.651022,2025-09-04 10:27:50.687184,195.90529209218508,15.74957345564701,201.59047698270123,0.42293517741205044,1586.5943999079573,201.91927926910785,10.955076068314227,54.040936388009925,0.2999885876999123
15,26.709125518798828,2025-09-04 10:27:50.687184,2025-09-04 10:27:50.725977,195.7363821698172,18.205300878815887,183.82975529192083,0.3955918264703859,1590.257845152783,177.29104844113266,11.883394044253674,51.22502976791333,0.10325707079161586
16,26.44277000427246,2025-09-04 10:27:50.726504,2025-09-04 10:27:50.764688,182.0382260073621,16.64252485829444,201.25756816638045,0.44087958818048334,1546.1386802430147,168.0061136666508,7.413501120870374,50.26440898316098,0.31609976121421685
17,24.353729248046875,2025-09-04 10:27:50.764688,2025-09-04 10:27:50.801970,185.3728875661242,14.415780776028805,215.00779644697124,0.32630265905856304,1611.8091036365695,200.5789939660125,13.10769531626276,40.284830103448215,0.15401210982690605
18,26.795154571533203,2025-09-04 10:27:50.802974,2025-09-04 10:27:50.837629,177.6582479201357,16.426848689603332,184.6097288565486,0.39811847254137767,1583.4995061208797,177.11709995758133,9.529335115737544,49.156668854395946,0.4179624700509508
19,26.831092834472656,2025-09-04 10:27:50.837629,2025-09-04 10:27:50.873320,178.36186667181792,17.53993940287506,169.89388317966714,0.39172750717831745,1550.2757630551316,179.40363181459728,3.518592549738332,49.315875830787014,0.42656076514444197
20,26.754985809326172,2025-09-04 10:27:50.873828,2025-09-04 10:27:50.908526,177.21350292107914,18.486837574209883,169.04247161703452,0.34698649104991086,1688.7748195108463,182.75726239697758,3.7354795018612243,47.38709221898273,0.3944159714784692
21,26.7863712310791,2025-09-04 10:27:50.909526,2025-09-04 10:27:50.945325,177.7718972496165,18.465900836826137,171.2112410359795,0.35227276359906634,1708.801170314513,182.31384575949113,3.5899111440162113,48.58181847933314,0.42075328032594683
22,24.602598190307617,2025-09-04 10:27:50.945325,2025-09-04 10:27:50.983147,180.37966536336987,17.540013502903715,177.15004293244053,0.38254659313173545,1731.1014540012147,196.2880075311981,6.560994178926366,42.56762919481426,0.42978692580916655
23,27.699993133544922,2025-09-04 10:27:50.983147,2025-09-04 10:27:51.018324,172.17180612033465,17.027178755635425,177.4971189887212,0.3217489194666271,1791.3599945053102,177.9885431543923,3.707354911930841,49.82793892260404,0.3539873103910675
24,27.844955444335938,2025-09-04 10:27:51.019325,2025-09-04 10:27:51.054516,171.10718682133603,17.02538186552912,181.66599201080174,0.2821702315777287,1809.6385180277935,175.54234761942695,6.505631068985389,50.581777249684045,0.34989018305481034
25,27.03877067565918,2025-09-04 10:27:51.054516,2025-09-04 10:27:51.086719,171.50234388499936,14.78453263958286,178.82527452492295,0.2848736663582915,1805.0486460318152,174.5359989147964,6.103414058427919,35.58331697694558,0.3493124972566423
26,27.13347053527832,2025-09-04 10:27:51.087221,2025-09-04 10:27:51.123319,170.9740937507275,14.684902712739452,176.59438982879604,0.2811895770931285,1802.3543884757505,174.36096833940283,14.000613276554287,35.258657418278034,0.3396403925931852
27,22.00074577331543,2025-09-04 10:27:51.123319,2025-09-04 10:27:51.160725,171.07322716353798,16.98786134219629,186.6008736319209,0.3144706533178878,1812.2223940679903,208.40598662051937,13.902314473655661,18.098415730271654,0.26543212169439406
28,27.075368881225586,2025-09-04 10:27:51.160725,2025-09-04 10:27:51.201946,168.80767634953088,13.389117165341261,176.51641321018207,0.2803893462406042,1778.3289175763468,187.8395085554334,22.366588591567115,31.487804013209306,0.3685519123642979
29,26.55755043029785,2025-09-04 10:27:51.201946,2025-09-04 10:27:51.241644,173.6704130009619,13.946757406765773,182.02132077143276,0.3096839686327748,1768.8120669446166,173.98433604961096,14.536252160833218,21.797653806859785,0.3247014608201755
30,26.037900924682617,2025-09-04 10:27:51.241644,2025-09-04 10:27:51.279307,173.71416377652994,11.22705841091054,198.6176839081121,0.32915630926341694,1813.0102847677626,193.14725287244838,10.562542134010068,38.724632782217085,0.289671223416303
31,27.075368881225586,2025-09-04 10:27:51.279307,2025-09-04 10:27:51.319608,168.18684270503155,13.350617668536497,175.7052255272403,0.2875205112727103,1788.9915770324985,186.38817257153642,23.000156146099886,30.023091257497303,0.36445263354192536
32,27.736572265625,2025-09-04 10:27:51.320608,2025-09-04 10:27:51.358931,168.56384752146928,15.111692735056863,175.1228049718977,0.2985484036947571,1829.3319037771869,185.60277074582797,26.60036451243264,32.27515835806179,0.3407871350708365
33,26.4129638671875,2025-09-04 10:27:51.359930,2025-09-04 10:27:51.398091,166.07338075692857,14.79881272726915,188.13778117103652,0.30196905131139123,1859.0440088285552,183.82414982035385,28.624535057963584,43.52959977897415,0.3378293809788035
34,27.844955444335938,2025-09-04 10:27:51.398091,2025-09-04 10:27:51.437951,169.67706273975884,15.249665060978675,181.1760977765856,0.3225653158142865,1828.2068679147835,173.62746988764715,19.99133478892425,36.104025337268766,0.2673541379606209
35,27.0137939453125,2025-09-04 10:27:51.437951,2025-09-04 10:27:51.475259,174.24518822286706,15.495239175221286,180.99823653050112,0.32973195081324297,1828.8219745824244,191.83162300016116,19.515224592690878,26.788926615109343,0.20299212814487488
